,lokasi,harga,kamar,luas_bangunan,luas_lahan,longitude,latitude
737,Pedurungan,425000000.0,2,45,92,110.4826054,-7.008032400000001
738,Krobokan,1200000000.0,4,160,200,110.3983189,-6.976250299999999
740,Semarang,1100000000.0,5,300,200,110.4229104,-6.9903987999999995
741,Semarang,950000000.0,3,100,120,110.4229104,-6.9903987999999995
742,Banyumanik,480000000.0,3,60,67,110.42012735052951,-7.06802325
744,Banyumanik,1200000000.0,3,85,150,110.42012735052951,-7.06802325
745,Banyumanik,1230000000.0,3,75,120,110.42012735052951,-7.06802325
746,Banyumanik,740000000.0,3,70,80,110.42012735052951,-7.06802325
747,Banyumanik,850000000.0,3,71,100,110.42012735052951,-7.06802325
749,Tembalang,600000000.0,3,70,132,110.45952907126915,-7.04583375
750,Semarang,700000000.0,3,170,100,110.4229104,-6.9903987999999995
752,Banyumanik,850000000.0,3,70,100,110.42012735052951,-7.06802325
753,Banyumanik,1700000000.0,4,120,148,110.42012735052951,-7.06802325
754,Banyumanik,189000000.0,2,30,60,110.42012735052951,-7.06802325
755,Ngaliyan,700000000.0,2,100,120,110.32811600554784,-6.99605755
756,Semarang,785000000.0,4,180,213,110.4229104,-6.9903987999999995
757,Gayamsari,1900000000.0,5,162,177,110.44646192711384,-6.9777875
758,Ngaliyan,1400000000.0,2,65,144,110.32811600554784,-6.99605755
761,Ngaliyan,800000000.0,2,90,106,110.32811600554784,-6.99605755
762,Semarang,950000000.0,3,69,72,110.4229104,-6.9903987999999995
764,Tembalang,525000000.0,2,30,90,110.45952907126915,-7.04583375
767,Pedurungan,1600000000.0,4,120,157,110.47735690000002,-7.0176717
768,Pedurungan,530000000.0,2,48,125,110.4738378,-7.0027211
770,Semarang,755000000.0,2,45,93,110.4229104,-6.9903987999999995
771,Gemah,375000000.0,2,40,75,110.46143529999999,-7.0093445999999995
772,Manyaran,450000000.0,2,50,125,110.3854405,-7.0027694
775,Gajahmungkur,660000000.0,2,45,87,110.41821085,-7.016690199999998
776,Semarang,470000000.0,2,45,90,110.4229104,-6.9903987999999995
777,Banyumanik,650000000.0,2,54,90,110.42012735052951,-7.06802325
778,Semarang,189000000.0,2,30,60,110.4229104,-6.9903987999999995
779,Semarang,1700000000.0,2,74,121,110.4229104,-6.9903987999999995
780,Banyumanik,1349000000.0,3,150,96,110.42012735052951,-7.06802325
781,Semarang,2000000000.0,2,180,200,110.4229104,-6.9903987999999995
783,Tembalang,1300000000.0,4,102,135,110.45952907126915,-7.04583375
784,Pedurungan,360000000.0,2,55,85,110.47735690000002,-7.0176717
785,Manyaran,1350000000.0,3,80,150,110.3854405,-7.0027694
786,Gunungpati,295000000.0,2,36,120,110.3545706,-7.092623700000001
787,Gunungpati,895000000.0,2,48,120,110.3545706,-7.092623700000001
789,Banyumanik,395000000.0,2,36,90,110.42012735052951,-7.06802325
792,Ngaliyan,680000000.0,3,90,120,110.32811600554784,-6.99605755
793,Jangli,3670000000.0,5,194,189,110.43926040000001,-7.0304178
794,Semarang,250000000.0,2,42,93,110.4229104,-6.9903987999999995
796,Banyumanik,200000000.0,2,36,60,110.42012735052951,-7.06802325
797,Tlogosari,1000000000.0,4,120,120,110.4595685,-6.9839788
798,Tlogomulyo,499000000.0,2,49,72,110.48109050000001,-6.9942871
799,Semarang,450000000.0,3,100,80,110.4229104,-6.9903987999999995
801,Banyumanik,280000000.0,2,36,66,110.42012735052951,-7.06802325
802,Brumbungan,550000000.0,1,50,55,110.42594840000002,-6.9828863
806,Semarang,1230000000.0,3,75,141,110.4229104,-6.9903987999999995
807,Banyumanik,673000000.0,3,60,107,110.42012735052951,-7.06802325
808,Banyumanik,545000000.0,3,60,60,110.42012735052951,-7.06802325
